Zip Code,Median earnings (dollars),"Median earnings (dollars) Agriculture, forestry, fishing and hunting","Median earnings (dollars) Mining, quarrying, and oil and gas extraction",Median earnings (dollars) Construction,Median earnings (dollars) Manufacturing,Median earnings (dollars) Wholesale trade,Median earnings (dollars) Retail trade,Median earnings (dollars) Transportation and warehousing,Median earnings (dollars) Utilities,Median earnings (dollars) Information,Median earnings (dollars) Finance and insurance,Median earnings (dollars) Real estate and rental and leasing,"Median earnings (dollars) Professional, scientific, and technical services",Median earnings (dollars) Management of companies and enterprises,Median earnings (dollars) Administrative and support and waste management services,Median earnings (dollars) Educational services,Median earnings (dollars) Health care and social assistance,"Median earnings (dollars) Arts, entertainment, and recreation",Median earnings (dollars) Accommodation and food services,"Median earnings (dollars) Other services, except public administration",Median earnings (dollars) Public administration,Median earnings (dollars) for male,"Median earnings (dollars) for male Agriculture, forestry, fishing and hunting","Median earnings (dollars) for male Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for male Construction,Median earnings (dollars) for male Manufacturing,Median earnings (dollars) for male Wholesale trade,Median earnings (dollars) for male Retail trade,Median earnings (dollars) for male Transportation and warehousing,Median earnings (dollars) for male Utilities,Median earnings (dollars) for male Information,Median earnings (dollars) for male Finance and insurance,Median earnings (dollars) for male Real estate and rental and leasing,"Median earnings (dollars) for male Professional, scientific, and technical services",Median earnings (dollars) for male Management of companies and enterprises,Median earnings (dollars) for male Administrative and support and waste management services,Median earnings (dollars) for male Educational services,Median earnings (dollars) for male Health care and social assistance,"Median earnings (dollars) for male Arts, entertainment, and recreation",Median earnings (dollars) for male Accommodation and food services,"Median earnings (dollars) for male Other services, except public administration",Median earnings (dollars) for male Public administration,Median earnings (dollars) for female,"Median earnings (dollars) for female Agriculture, forestry, fishing and hunting","Median earnings (dollars) for female Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for female Construction,Median earnings (dollars) for female Manufacturing,Median earnings (dollars) for female Wholesale trade,Median earnings (dollars) for female Retail trade,Median earnings (dollars) for female Transportation and warehousing,Median earnings (dollars) for female Utilities,Median earnings (dollars) for female Information,Median earnings (dollars) for female Finance and insurance,Median earnings (dollars) for female Real estate and rental and leasing,"Median earnings (dollars) for female Professional, scientific, and technical services",Median earnings (dollars) for female Management of companies and enterprises,Median earnings (dollars) for female Administrative and support and waste management services,Median earnings (dollars) for female Educational services,Median earnings (dollars) for female Health care and social assistance,"Median earnings (dollars) for female Arts, entertainment, and recreation",Median earnings (dollars) for female Accommodation and food services,"Median earnings (dollars) for female Other services, except public administration",Median earnings (dollars) for female Public administration,Women's earnings as a percentage of men's earning,"Women's earnings as a percentage of men's earning Agriculture, forestry, fishing and hunting","Women's earnings as a percentage of men's earning Mining, quarrying, and oil and gas extraction",Women's earnings as a percentage of men's earning Construction,Women's earnings as a percentage of men's earning Manufacturing,Women's earnings as a percentage of men's earning Wholesale trade,Women's earnings as a percentage of men's earning Retail trade,Women's earnings as a percentage of men's earning Transportation and warehousing,Women's earnings as a percentage of men's earning Utilities,Women's earnings as a percentage of men's earning Information,Women's earnings as a percentage of men's earning Finance and insurance,Women's earnings as a percentage of men's earning Real estate and rental and leasing,"Women's earnings as a percentage of men's earning Professional, scientific, and technical services",Women's earnings as a percentage of men's earning Management of companies and enterprises,Women's earnings as a percentage of men's earning Administrative and support and waste management services,Women's earnings as a percentage of men's earning Educational services,Women's earnings as a percentage of men's earning Health care and social assistance,"Women's earnings as a percentage of men's earning Arts, entertainment, and recreation",Women's earnings as a percentage of men's earning Accommodation and food services,"Women's earnings as a percentage of men's earning Other services, except public administration",Women's earnings as a percentage of men's earning Public administration
90056,63333,-,-,101370,141417,85333,30353,26815,-,107750,52250,106050,71742,-,51898,70066,72647,35069,53021,22684,61680,63382,-,-,106176,-,26250,31282,26288,-,109125,51500,107025,120250,-,-,79438,44536,65350,-,-,61107,63320,-,-,-,142417,-,21803,70814,-,43472,78000,-,71326,-,51898,60025,73493,13850,53021,10724,-,99.9,-,-,-,-,-,69.7,269.4,-,39.8,151.5,-,59.3,-,-,75.6,165,21.2,-,-,-
90057,22192,14943,-,19641,18824,30683,20224,26647,36655,32321,41050,17443,46424,100104,20913,27315,26679,31366,22980,17241,31984,23332,16985,-,19583,20887,31250,22225,26903,36959,35848,52825,15543,47306,-,22072,27232,27300,30509,24082,23889,30833,19730,9750,-,30688,17064,25938,16206,25821,-,31020,40297,23833,45457,100104,16646,27354,26310,38109,20450,15085,35433,84.6,57.4,-,156.7,81.7,83,72.9,96,-,86.5,76.3,153.3,96.1,-,75.4,100.4,96.4,124.9,84.9,63.1,114.9
90058,19589,-,-,38269,18533,29239,25273,72644,-,-,-,-,22426,-,20625,14125,15699,-,14231,13750,44583,24196,-,-,38269,19143,29659,26667,73365,-,-,-,-,-,-,-,-,-,-,20792,-,-,16227,-,-,-,18000,-,15536,-,-,-,-,-,-,-,20625,14625,15809,-,7386,-,44167,67.1,-,-,-,94,-,58.3,-,-,-,-,-,-,-,-,-,-,-,35.5,-,-
90059,24613,17939,-,26726,25874,27578,20378,29872,80069,33661,31522,21964,48981,-,20401,28281,28081,14764,20656,20817,38145,27071,18807,-,25536,31566,29375,26190,31513,-,51932,42649,26204,55524,-,20992,36542,32056,13607,22608,23021,41213,22133,13104,-,48438,21537,22976,18077,27467,-,25536,31250,19545,27917,-,17238,23125,27406,16600,18042,15682,31319,81.8,69.7,-,189.7,68.2,78.2,69,87.2,-,49.2,73.3,74.6,50.3,-,82.1,63.3,85.5,122,79.8,68.1,76
90061,26418,-,-,25619,28520,22270,17750,31315,-,36493,36234,35266,51944,-,20775,31074,28297,32983,16046,18571,45439,29241,-,-,25780,30296,22303,25000,32072,-,41217,53125,35660,66406,-,20938,63095,35156,23672,21645,21897,43000,24148,-,-,-,25724,19972,16417,30072,-,9189,35481,26161,36250,-,20500,29132,27554,33466,14699,16677,46641,82.6,-,-,-,84.9,89.5,65.7,93.8,-,22.3,66.8,73.4,54.6,-,97.9,46.2,78.4,141.4,67.9,76.2,108.5
90062,26378,34861,-,21947,25833,24772,25857,30912,37273,36417,25865,26833,48696,-,24475,40783,31758,26532,20671,24003,47500,27230,36150,-,21887,26657,25313,27456,31516,87969,23806,-,22125,49850,-,25927,42750,47000,25121,22236,27615,51488,25232,-,-,-,25201,24572,20362,20500,-,60833,25545,27458,44375,-,21591,40469,30310,65653,18381,20461,44063,92.7,-,-,-,94.5,97.1,74.2,65,-,255.5,-,124.1,89,-,83.3,94.7,64.5,261.3,82.7,74.1,85.6
90063,28453,15066,44688,31554,27997,31185,21595,31882,60200,29063,33994,40889,39167,-,25392,30342,30091,15353,21618,20025,43750,30747,16414,-,31674,30300,31399,25409,32392,60625,27135,80074,40781,42868,-,25700,27875,36573,14125,27943,28750,51949,24251,12772,-,30822,24428,30806,20487,30191,54183,63333,33262,41750,32500,-,22438,31595,26527,16202,17443,17754,41563,78.9,77.8,-,97.3,80.6,98.1,80.6,93.2,89.4,233.4,41.5,102.4,75.8,-,87.3,113.3,72.5,114.7,62.4,61.8,80
90064,70586,-,-,56958,96625,61399,54432,55179,89688,100290,126500,95000,85931,206406,37750,59158,71892,45580,20893,25163,73977,78370,-,-,60833,100577,70060,59858,46950,-,94333,188182,109130,103537,-,36339,71480,104609,42148,22478,27143,60905,59017,-,-,56675,58750,34352,23882,57143,-,106250,80909,61563,71065,206146,39375,52757,63081,47098,12147,20217,84479,75.3,-,-,93.2,58.4,49,39.9,121.7,-,112.6,43,56.4,68.6,-,108.4,73.8,60.3,111.7,54,74.5,138.7
90065,35954,8816,-,26848,32075,41731,24420,30191,93750,64375,54506,43021,57593,11763,21849,56089,39625,39241,20895,22351,64750,36886,8816,-,26741,33814,43906,27344,30562,69850,68542,82283,75938,64398,-,21727,62276,52989,41118,22939,30080,90398,35300,-,-,42083,27784,36950,20395,26250,98194,58125,47188,40125,52231,-,24250,47083,37334,36633,16345,20244,50074,95.7,-,-,157.4,82.2,84.2,74.6,85.9,140.6,84.8,57.3,52.8,81.1,-,111.6,75.6,70.5,89.1,71.3,67.3,55.4
90066,51500,11964,11875,55636,75886,62946,36757,40122,85368,81629,75463,53147,80044,"250,000+",31228,52859,50440,48587,23370,31620,61250,53355,-,11250,49725,81779,52112,35750,43068,84875,90474,94669,60588,92033,-,30117,57928,55804,53287,23239,29718,61688,49173,-,-,58281,56553,68750,40330,35707,85515,64683,66106,46960,66858,-,35147,51250,46553,35833,23919,35060,60156,92.2,-,-,117.2,69.2,131.9,112.8,82.9,100.8,71.5,69.8,77.5,72.6,-,116.7,88.5,83.4,67.2,102.9,118,97.5
90067,76111,-,-,-,53846,-,-,-,-,-,96600,121797,76076,-,17375,26875,94375,11987,-,-,-,77841,-,-,-,-,-,-,-,-,-,96050,"250,000+",76806,-,-,-,71111,11987,-,-,-,61713,-,-,-,-,-,-,-,-,-,-,22083,62361,-,-,75972,117969,-,-,-,-,79.3,-,-,-,-,-,-,-,-,-,-,-,81.2,-,-,-,165.9,-,-,-,-
90068,64052,-,-,56029,82618,42396,47808,20817,79438,85795,95863,54821,79514,-,50313,50977,69010,64545,31099,27625,82381,73392,-,-,55772,77000,67625,49346,14408,-,86475,84631,72000,82888,-,52045,38977,100875,76413,32133,23611,106875,52803,-,-,108375,103021,14350,36548,-,-,79975,96250,27058,68065,-,45313,51659,55759,57798,21875,30150,61500,71.9,-,-,194.3,133.8,21.2,74.1,-,-,92.5,113.7,37.6,82.1,-,87.1,132.5,55.3,75.6,68.1,127.7,57.5
90069,64524,61339,-,54638,90882,75197,39847,43306,-,85804,95326,64034,89375,-,72500,52424,82250,57667,35024,38081,57424,80981,-,-,54178,102647,76579,39816,22389,-,122500,116442,64868,94732,-,52361,62059,128504,75956,37645,52908,107940,54922,-,-,-,80789,61042,39917,102805,-,63075,59327,63266,70106,-,72647,48167,51958,54583,28944,25000,55265,67.8,-,-,-,78.7,79.7,100.3,459.2,-,51.5,50.9,97.5,74,-,138.7,77.6,40.4,71.9,76.9,47.3,51.2
90071,62000,-,-,-,-,-,-,-,-,-,-,-,80388,-,-,-,-,-,-,-,-,80776,-,-,-,-,-,-,-,-,-,-,-,80388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90073,12625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13563,-,-,12750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13563,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90077,102877,-,-,109464,221136,102337,46125,161042,-,151771,"250,000+",108875,129485,-,56691,54487,192857,38631,23906,32094,96319,143636,-,-,109464,"250,000+",112857,43977,162396,-,107321,"250,000+",216354,144773,-,-,52750,"250,000+",38750,56071,-,-,70417,-,-,-,9926,102228,70100,-,-,151979,"250,000+",73167,78083,-,-,70625,65735,26875,22969,31438,96319,49,-,-,-,-,90.6,159.4,-,-,141.6,-,33.8,53.9,-,-,133.9,-,69.4,41,-,-
90079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90089,"2,500-",-,-,-,-,-,"2,500-",-,-,-,-,-,-,-,"2,500-","2,500-",-,-,"2,500-","2,500-",-,"2,500-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,500-",-,-,"2,500-",-,-,"2,500-",-,-,-,-,-,8056,-,-,-,-,-,-,-,-,2617,-,-,"2,500-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90094,105845,-,-,110170,141307,21250,30500,-,-,121920,209000,123243,132571,"250,000+",128750,76060,101811,81875,26944,85729,106250,132841,-,-,-,162969,-,131792,-,-,125450,"250,000+",122844,162885,"250,000+",-,67353,217396,128750,-,86007,106250,81074,-,-,-,109844,-,19503,-,-,79659,51384,-,85952,-,-,76597,100793,81414,26285,-,-,61,-,-,-,67.4,-,14.8,-,-,63.5,-,-,52.8,-,-,113.7,46.4,63.2,-,-,-
90095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90201,23640,19806,-,30187,26272,25254,20280,25153,63090,35149,29261,28015,35833,51161,23166,27794,22182,20267,18590,20999,26316,26914,21447,-,30306,29160,26738,24335,26478,62778,36922,22390,27868,41538,-,27181,37542,25701,16908,20274,22390,49178,19799,19194,-,28818,21520,19760,14162,20404,-,20625,32500,35500,27149,-,17065,22778,21353,21320,17610,16782,19564,73.6,89.5,-,95.1,73.8,73.9,58.2,77.1,-,55.9,145.2,127.4,65.4,-,62.8,60.7,83.1,126.1,86.9,75,39.8
90210,85240,-,-,115489,82299,81964,60313,54800,-,86150,182411,116146,110153,-,50179,42782,125583,86100,35592,50495,79688,109612,-,-,115326,80826,104792,75057,106050,-,107679,189444,160929,188875,-,52321,96319,245776,109468,13472,106597,78889,53953,-,-,132750,124318,49836,26763,52917,-,70792,79861,66250,50257,-,21447,31800,71202,31563,36316,20893,-,49.2,-,-,115.1,153.8,47.6,35.7,49.9,-,65.7,42.2,41.2,26.6,-,41,33,29,28.8,269.6,19.6,-
90211,61684,-,-,50139,62750,54261,62188,60309,-,84750,101250,62847,61444,-,45938,85313,75278,50625,53646,16740,97045,73911,-,-,51389,56771,54943,66167,60540,-,93106,115592,42375,73710,-,67734,93750,240500,30114,-,16395,-,53393,-,-,-,63333,43500,32500,31328,-,77407,62778,68438,44291,-,42500,81000,50438,53250,54340,25302,-,72.2,-,-,-,111.6,79.2,49.1,51.7,-,83.1,54.3,161.5,60.1,-,62.7,86.4,21,176.8,-,154.3,-
90212,71650,-,-,64583,104345,79837,44593,73750,-,71523,96094,79002,56953,-,100833,56851,58558,82011,111471,75341,4508,84743,-,-,64583,123266,85804,154188,83839,-,68642,155655,112500,54063,-,127957,85885,72361,84271,158920,155430,-,58645,-,-,57500,57844,14694,21688,62750,-,82262,95234,78714,85944,-,-,56689,39938,81087,90417,11780,4508,69.2,-,-,89,46.9,17.1,14.1,74.8,-,119.8,61.2,70,159,-,-,66,55.2,96.2,56.9,7.6,-
90220,29630,18995,-,32066,32037,29009,23546,37864,68616,41452,40963,31761,46250,-,20182,33594,31023,25010,20144,19742,52750,31438,18864,-,32324,33759,38137,24368,34884,24423,54792,63438,28629,58566,-,23106,37798,35750,25530,24785,21744,59444,26335,19236,-,19708,26881,24386,22552,42351,-,40029,31719,75417,40994,-,16352,30809,30377,20968,16660,17180,50104,83.8,102,-,61,79.6,63.9,92.5,121.4,-,73.1,50,263.4,70,-,70.8,81.5,85,82.1,67.2,79,84.3
90221,26956,12500,40789,35000,27911,30063,22828,32164,71944,35644,33103,26020,26528,-,20662,29583,27301,20773,20697,24346,45839,29466,14632,40789,35163,29879,30456,27955,32197,36667,41058,37328,19318,24181,-,23525,39844,28857,16525,25225,24992,46595,24025,8750,-,6774,24487,27484,18409,31500,-,23516,30938,32868,35045,-,18341,25656,26976,21841,15840,21170,39250,81.5,59.8,-,19.3,82,90.2,65.9,97.8,-,57.3,82.9,170.1,144.9,-,78,64.4,93.5,132.2,62.8,84.7,84.2
90222,26450,14500,-,27738,25622,21451,22455,31600,75795,40694,32162,34968,31289,-,27481,35417,31828,12653,17563,20946,43607,26975,13708,-,27162,27044,21859,27531,32088,77159,37448,32112,52530,27500,-,30112,45000,34779,22903,18203,22250,22317,25894,-,-,37500,23036,18750,21507,26182,-,43864,32344,34103,32938,-,17708,32969,31250,12339,17214,20742,44321,96,-,-,138.1,85.2,85.8,78.1,81.6,-,117.1,100.7,64.9,119.8,-,58.8,73.3,89.9,53.9,94.6,93.2,198.6
90230,53956,60556,-,41339,83770,60521,28190,40206,-,79938,85932,45489,74650,-,41172,60797,44259,77250,21796,24148,81897,62000,-,-,42500,101764,57875,38601,36602,-,86346,85761,61402,95556,-,30125,63831,66007,90417,24122,32708,102563,46772,-,-,20694,60453,78750,26464,60250,-,69311,86042,27297,62156,-,56700,55804,40598,56786,19563,21403,61667,75.4,-,-,48.7,59.4,136.1,68.6,164.6,-,80.3,100.3,44.5,65,-,188.2,87.4,61.5,62.8,81.1,65.4,60.1
90232,60887,-,-,83125,72056,66094,38810,38968,-,76862,98313,62988,80313,-,31518,52803,64826,28625,21209,32077,49688,66429,-,-,80761,88036,30625,44545,39206,-,88750,145370,31969,85510,-,31205,53750,48264,51071,21364,74063,156932,53305,-,-,-,46302,85313,31739,31000,-,68750,61058,82768,70536,-,35243,51406,66395,15111,21122,31391,36990,80.2,-,-,-,52.6,278.6,71.3,79.1,-,77.5,42,258.9,82.5,-,112.9,95.6,137.6,29.6,98.9,42.4,23.6
90240,42358,-,-,32260,53305,38578,24819,47774,75915,79306,48004,35247,68571,-,33482,61296,38101,34732,22269,31607,68524,47164,-,-,31062,54317,41492,32222,53389,64528,85077,46789,34676,70750,-,31414,57946,29327,38229,21920,49286,69776,39013,-,-,97727,37180,29597,21375,29872,-,56184,48619,35362,61477,-,42130,62361,39299,12083,26181,19444,67784,82.7,-,-,314.6,68.5,71.3,66.3,56,-,66,103.9,102,86.9,-,134.1,107.6,134,31.6,119.4,39.5,97.1
90241,37955,13000,-,41034,39957,45833,27648,42175,91786,39923,53583,62068,43347,-,24363,54928,35095,20227,17371,26806,56250,41109,31288,-,41127,41344,44181,31039,47713,100625,56023,64330,62175,44250,-,27266,54141,35875,22813,22298,32008,55882,33186,"2,500-",-,40750,36558,46519,21990,35313,45417,31786,44509,61000,39833,-,21479,55294,34638,16369,16082,21398,57609,80.7,-,-,99.1,88.4,105.3,70.8,74,45.1,56.7,69.2,98.1,90,-,78.8,102.1,96.6,71.8,72.1,66.9,103.1
90242,34015,-,-,36034,41883,34077,25218,41298,127895,53514,48368,17500,37669,-,29336,43714,35082,25170,20127,31338,67569,37948,-,-,36968,53333,34118,25346,43241,131875,62500,49757,15982,42813,-,29023,41050,37139,19896,21277,39861,85343,31662,-,-,16658,40536,33906,22488,27679,72188,52536,46029,21579,37635,-,30238,44332,33951,25398,17375,21625,38351,83.4,-,-,45.1,76,99.4,88.7,64,54.7,84.1,92.5,135,87.9,-,104.2,108,91.4,127.7,81.7,54.3,44.9
90245,71108,42969,-,62688,120796,97750,33929,45882,150179,85667,75605,73625,89837,-,37273,56343,73929,27115,8438,35815,99886,92943,-,-,70755,121836,200015,35707,60216,-,103750,85156,88906,109375,-,35682,61250,84250,41250,18750,36504,97614,55945,-,-,41597,97273,72656,30417,29193,151607,59261,74235,67955,66579,-,46346,53571,71979,24412,6852,30385,108690,60.2,-,-,58.8,79.8,36.3,85.2,48.5,-,57.1,87.2,76.4,60.9,-,129.9,87.5,85.4,59.2,36.5,83.2,111.3
90247,30971,22059,-,37007,34185,32292,29971,31207,71875,36071,46750,38219,51849,-,22284,32578,40054,17407,17796,17993,46042,32130,22059,-,35924,35805,33750,32865,32188,93068,37250,47188,44550,52204,-,24309,30735,41667,16282,19756,19298,54650,28930,-,-,63594,32115,31250,26063,26538,70833,24741,46287,15789,51452,-,16894,33203,37041,18306,16888,16432,35188,90,-,-,177,89.7,92.6,79.3,82.4,76.1,66.4,98.1,35.4,98.6,-,69.5,108,88.9,112.4,85.5,85.1,64.4
90248,34855,-,-,30074,43500,25526,20764,32268,101250,64375,59792,54531,59750,-,19583,31212,46091,14405,20216,21935,51982,36197,-,-,29479,52829,24135,26276,31359,101250,29926,71400,26435,59875,-,30341,48750,67868,14333,22448,28750,51006,31846,-,-,88250,41613,27303,17098,62321,-,102667,35729,83152,57321,-,17019,27313,39057,14583,14931,16181,68750,88,-,-,299.4,78.8,113.1,65.1,198.7,-,343.1,50,314.6,95.7,-,56.1,56,57.5,101.7,66.5,56.3,134.8
90249,36055,30635,-,30045,52052,37500,21648,41039,100972,61801,56500,48690,60246,-,29485,53906,37607,21447,26218,23396,61037,37180,30635,-,30089,56750,39813,22101,41105,-,64821,66538,38977,54922,-,27935,52656,53646,22434,30615,26750,85571,33729,-,-,17411,49219,24181,20585,40969,-,10461,55700,51674,61250,-,33528,62125,32052,11852,22464,16310,46818,90.7,-,-,57.9,86.7,60.7,93.1,99.7,-,16.1,83.7,132.6,111.5,-,120,118,59.7,52.8,73.4,61,54.7
90250,31704,23977,-,37662,42418,47031,21942,40216,106172,42011,57050,40020,45529,-,22208,40088,37307,32184,21576,22312,50540,36026,"250,000+",-,37493,51378,44861,26823,41710,105156,43984,59167,37500,71667,-,23200,39625,39948,36402,24677,27447,53008,28452,14231,-,42212,28633,47109,19710,34625,-,22176,55114,40590,32620,-,20134,40263,35671,19408,18348,17708,46184,79,-,-,112.6,55.7,105,73.5,83,-,50.4,93.1,108.2,45.5,-,86.8,101.6,89.3,53.3,74.4,64.5,87.1
90254,88033,-,-,70583,122875,116071,65766,87262,-,82794,195127,48659,132721,-,87083,75221,86011,41667,26096,50833,89760,100260,-,-,80313,123112,73750,64110,111000,-,74464,208510,54083,156429,-,100817,91862,135313,44808,27288,25380,89423,76634,-,-,-,119375,223810,66815,66324,-,84265,125625,48079,98958,-,77151,69732,85213,36324,19219,52311,-,76.4,-,-,-,97,303.5,104.2,59.8,-,113.2,60.2,88.9,63.3,-,76.5,75.9,63,81.1,70.4,206.1,-
90255,24076,30231,-,25348,26019,25103,21271,28602,95208,33417,43086,21563,30186,-,22864,25343,23846,21307,16120,20807,27788,26312,21989,-,25742,26943,26892,25910,30858,95208,38295,39000,23269,22344,-,24317,22813,26493,23043,21830,23513,48333,20642,30924,-,12404,23527,20738,17905,20875,-,19659,44258,20991,31429,-,16908,27258,22913,17292,12491,16675,25664,78.5,140.6,-,48.2,87.3,77.1,69.1,67.6,-,51.3,113.5,90.2,140.7,-,69.5,119.5,86.5,75,57.2,70.9,53.1
90260,32235,59904,-,28659,39848,40543,25442,37123,86786,73377,53954,32351,52746,-,22909,42528,36348,53475,20230,15319,54158,37803,60104,-,28273,53343,51250,30216,35655,85268,73005,67650,32113,44259,-,31557,47396,36783,54100,27313,34113,53397,24991,-,-,-,27174,21513,20375,43507,110069,80125,52806,37976,54928,-,11974,26793,34018,32292,15811,13323,55972,66.1,-,-,-,50.9,42,67.4,122,129.1,109.8,78.1,118.3,124.1,-,37.9,56.5,92.5,59.7,57.9,39.1,104.8
90262,27265,38523,-,33196,29475,28938,23838,31395,90917,29844,44783,27211,35395,-,21898,28590,28393,13934,20410,23951,46518,29944,25500,-,34699,32621,28048,23766,32275,76719,18750,51534,27095,39609,-,22378,33750,31823,21333,20586,28382,64659,25379,-,-,27048,25795,30714,23882,26844,-,35347,37880,28393,31477,-,19541,26628,27350,13346,20288,18583,35602,84.8,-,-,78,79.1,109.5,100.5,83.2,-,188.5,73.5,104.8,79.5,-,87.3,78.9,85.9,62.6,98.6,65.5,55.1
90263,3551,-,-,-,-,-,4345,-,-,-,-,-,-,-,-,3082,3125,6750,4423,4423,-,2899,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,500-",-,-,-,3750,-,3728,-,-,-,-,-,4107,-,-,-,-,-,-,-,-,3272,2656,6750,4423,4625,-,128.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123.3,-
90265,75667,79688,-,106329,128457,71471,44081,34153,-,136250,211940,102396,100648,-,26085,52847,51402,72100,46772,31458,81500,106205,-,-,106964,140473,129375,125948,55685,-,138831,"250,000+",102581,157566,-,25521,82619,68676,175071,46735,49722,207852,39989,79141,-,-,54563,70147,27303,33468,-,65662,128438,34250,64750,-,26224,26827,48917,15641,47550,22750,63427,37.7,-,-,-,38.8,54.2,21.7,60.1,-,47.3,-,33.4,41.1,-,102.8,32.5,71.2,8.9,101.7,45.8,30.5
90266,101975,-,104688,54279,130250,98088,58056,38819,95938,180735,175050,106806,124080,-,131304,49666,89815,53173,30208,32379,101290,131310,-,-,65114,132050,83750,107750,27083,141583,200573,244318,154750,150281,-,88906,57917,216406,131568,19609,53281,124000,68812,-,-,38088,114167,98456,37857,64762,91311,129514,91058,53833,83750,-,132446,47760,58652,21685,31442,32177,78500,52.4,-,-,58.5,86.5,117.6,35.1,239.1,64.5,64.6,37.3,34.8,55.7,-,149,82.5,27.1,16.5,160.3,60.4,63.3
90270,25029,25377,-,24844,25980,30201,19635,25513,61023,27273,30268,11607,37188,-,19719,24861,24809,30250,18536,22574,36094,26659,27075,-,24031,25967,31600,22205,27379,-,31250,44271,36563,31406,-,27596,24792,37038,30000,22606,30643,68409,20507,7093,-,36923,26089,22415,17857,17703,-,16923,26591,-,46188,-,16875,25037,21114,30250,16646,17407,30250,76.9,26.2,-,153.6,100.5,70.9,80.4,64.7,-,54.2,60.1,-,147.1,-,61.2,101,57,100.8,73.6,56.8,44.2
90272,108256,-,-,83824,111625,182841,22101,62321,112396,130052,"250,000+",120323,165128,-,19600,73393,90809,44528,23141,44667,62656,161819,-,-,100341,99375,53684,74500,62653,112396,166125,"250,000+",162050,224970,-,19400,73785,230556,47981,24199,26813,48750,63926,-,-,70673,112375,"250,000+",19071,-,-,100278,129375,60938,86635,-,75714,72250,51076,43667,20913,54087,154922,39.5,-,-,70.4,113.1,-,25.6,-,-,60.4,-,37.6,38.5,-,390.3,97.9,22.2,91,86.4,201.7,317.8
90274,92977,32083,-,63221,129709,123438,41250,62656,87422,237083,105662,53750,109952,"250,000+",25707,37480,118173,11875,17737,60250,109063,123831,32083,-,101875,150696,128266,49455,82963,-,"250,000+",129453,106908,152639,-,50417,64250,238750,28750,11912,63994,154861,54259,-,-,47188,88571,57443,31719,54135,-,62067,97945,44063,64821,-,25598,36171,79583,10208,32750,36103,105972,43.8,-,-,46.3,58.8,44.8,64.1,65.3,-,-,75.7,41.2,42.5,-,50.8,56.3,33.3,35.5,274.9,56.4,68.4
